id	title	developer	genre	language	publisher	region	release_date	serial
ALCH-00001	Katakamuna: Ushinawareta Ingaritsu [Deluxe Pack]	Alchemist / NDCP	Adventure.	Japanese	Alchemist	NTSC-J	2004-11-25	ALCH-00001
ALCH-00002	Baldr Force EXE: Mega Box	N/A	N/A	N/A	Alchemist	NTSC-J	2005-04-07	ALCH-00002
ALCH-00003	Chocolat Maid Cafe Curio [Limited Edition]	Giga	Adventure.	Japanese	Alchemist	NTSC-J	2005-06-30	ALCH-00003
ALCH-00004	Duel Savior Destiny [Messiah Box]	Giga	Action / RPG.	Japanese	Alchemist	NTSC-J	2005-12-22	ALCH-00004
ALCH-00005	Haru no Ashioto: Step of Spring [Paku Paku Pack]	Alchemist	Adventure	Japanese	Alchemist	NTSC-J	2006-04-06	ALCH-00005
ALCH-00006	Baldr Force EXE (Simlacrum Pack Alchemist Best)	N/A	N/A	N/A	N/A	NTSC-J	N/A	ALCH-00006
ALCH-00007	Parfait: Chocolat Second Style [Limited Edition]	Alchemist	Adventure.	Japanese	Alchemist	NTSC-J	2006-06-29	ALCH-00007
ALCH-00008	Aria: The Natural ~Tooi Yume no Mirage~ [Limited Edition]	Regista	Adventure	Japanese	Alchemist	NTSC-J	2006-09-28	ALCH-00008
ALCH-00009	Higurashi no Naku Koro ni Matsuri [First Print Limited Edition]	07th Expansion	Adventure.	Japanese	Alchemist	NTSC-J	2007-02-22	ALCH-00009
ALCH-00010	Kono Aozora ni Yakusoku wo: Melody of the Sun and Sea [Limited Edition]	Alchemist	Adventure.	Japanese	Alchemist	NTSC-J	2007-05-31	ALCH-00010
ALCH-00011	Pure x Cure RE:Covery [Koi no Kyuukyuu Set]	Alchemist	Adventure.	Japanese	Alchemist	NTSC-J	2007-08-22	ALCH-00011
ALCH-00012	Baldr Bullet: Equilibrium: Genteiban	TGL	Action	N/A	Alchemist	NTSC-J	2007-10-25	ALCH-00012
ALCH-00014	Aria: The Origination ~Aoi Hoshi no El Cielo~ [Limited Edition]	Regista	Adventure	Japanese	Alchemist	NTSC-J	2008-06-26	ALCH-00014
ALCH-00015	Sugar+Spice!: Anoko no Suteki na Nanimokamo [First Press Limited Edition]	Alchemist / Chu Able Soft	Adventure.	Japanese	Alchemist	NTSC-J	2008-09-25	ALCH-00015
ALCH-00016	Koisuru Otome to Shugo no Tate: The Shield of Aigis [Limited Edition]	Axl	Adventure.	Japanese	Alchemist	NTSC-J	2008-11-20	ALCH-00016
ALCH-00017	Triggerheart Exelica Enhanced [Nendroid Super Set]	Warashi Inc	Shooter.	Japanese	Alchemist	NTSC-J	2009-03-26	ALCH-00017
ALCH-00021	Sekirei: Mirai Kara no Okurimono [Special Pack]	Alchemist	Adventure.	Japanese	Alchemist	NTSC-J	2009-10-29	ALCH-00021
ALCH-00027	Suzunone Seven: Rebirth Knot [Limited Edition]	Clochette	Adventure.	Japanese	Alchemist	NTSC-J	2010-05-27	ALCH-00027
ALCH-00028	Hana to Otome ni Shukufuku wo: Harukaze no Okurimono [Saint Box]	Alchemist	Adventure.	Japanese	Alchemist	NTSC-J	2010-07-08	ALCH-00028
ARP2-01201	Armen Noir [Limited Edition]	Design Factory / Otomate	Adventure	Japanese	Idea Factory	NTSC-J	2010-12-09	ARP2-01201
ARZE-66071	Shadow Hearts: From the New World: Starter Pack	Nautilus	RPG	N/A	Aruze Corp	NTSC-J	2006-01-19	ARZE-66071
BCES-52411	Athens 2004 [FI]	Eurocom Entertainment Software	Sports	N/A	Sony Computer Entertainment	PAL	2004	BCES-52411
BCUS-98115	Hot Shots Golf: Out of Bounds	Clap Hanz	Sports	N/A	Sony Computer Entertainment America	NTSC-U	2008-03-18	BCUS-98115
CF00-15018	Secret of Evangelion [Limited Edition Ayanami Version]	West One	Adventure.	Japanese	GeneX	NTSC-J	2006-12-21	CF00-15018
CF00-15019	Secret of Evangelion [Limited Edition Asuka Version]	West One	Adventure.	Japanese	GeneX	NTSC-J	2006-12-21	CF00-15019
CF00-15022	Memories Off #5: Encore [Limited Edition]	Kid	Adventure.	Japanese	CyberFront	NTSC-J	2007-07-12	CF00-15022
CF00-15024	12Riven -The Psi-Climinal of integral [Soundtrack Edition]	CyberFront	Adventure / Visual Novel.	Japanese	CyberFront	NTSC-J	2008-03-13	CF00-15024
CF00-15026	Princess Maker 5 [Limited Edition]	Gainax Network Systems	Simulation.	Japanese	CyberFront	NTSC-J	2008-02-07	CF00-15026
CF00-22006	Shinseiki Evangelion: Koutetsu no Girlfriend Special Edition [Best Hit Selection]	CyberFront	Adventure.	Japanese	GeneX	NTSC-J	2007-03-15	CF00-22006
CF00-22019	Infinity Plus	N/A	N/A	N/A	N/A	NTSC-J	N/A	CF00-22019
CPCS-01001	Capcom vs. SNK 2: Millionaire Fighting 2001: Modem Pack	Capcom	Fighting	N/A	Capcom	NTSC-J	2001-09-13	CPCS-01001
CPCS-01002	Gun Survivor 3: Dino Crisis [with GunCon2]	Capcom	Gun / Shooter	Japanese	Capcom	NTSC-J	2002-06-27	CPCS-01002
CPCS-01003	Auto Modellista: Modem Pack	Capcom Production Studio 1	Racing	N/A	Capcom	NTSC-J	2002-08-22	CPCS-01003
CPCS-01004	Marvel vs Capcom 2 [Modem Pack]	Capcom Co., Ltd	Fighting	Japanese	Capcom	NTSC-J	2002-09-19	CPCS-01004
CPCS-01005	Gun Survivor 4: Biohazard: Heroes Never Die [with GunCon2]	Cavia	Action / Adventure / Shooter / Survival Horror	Japanese	Capcom	NTSC-J	2003-02-13	CPCS-01005
CPCS-01007	Hyper Street Fighter II: The Anniversary Edition: Special Anniversary Pack	N/A	Fighting	N/A	N/A	NTSC-J	N/A	CPCS-01007
CPCS-01009	Street Fighter III: 3rd Strike: Fight for the Future: The Limited Edition	N/A	Fighting	N/A	N/A	NTSC-J	2004-07-22	CPCS-01009
CPCS-01019	Black Cat: Kikai Shikake no Tenshi: Limited Pack	N/A	Action-Adventure	N/A	Capcom	NTSC-J	2006-03-30	CPCS-01019
CPCS-01020	Monster Hunter 2: DX Hunters Box	Capcom	N/A	N/A	Capcom	NTSC-J	2006-02-16	CPCS-01020
CPCS-01027	Grand Theft Auto: Double Pack	Rockstar North	Action / Driving / Shooter	Japanese	Capcom	NTSC-J	2007-02-22	CPCS-01027
CPCS-01032	Sengoku Basara Double Pack	Capcom	Action	N/A	Capcom	NTSC-J	2007-07-19	CPCS-01032
CPCS-01036	Sengoku Basara X [Limited Edition]	Arc System Works	Fighting.	Japanese	Capcom	NTSC-J	2008-06-26	CPCS-01036
CPCS-01040	Capcom vs SNK 2: Millionaire Fighting 2001 / Street Fighter III 3rd Strike: Fight for the Future: Value Pack	Capcom	Fighting	N/A	Capcom	NTSC-J	N/A	CPCS-01040
CPCS-01041	Fate/Unlimited Codes [SP Box]	Cavia / Eighting	Fighting.	Japanese	Capcom	NTSC-J	2008-12-18	CPCS-01041
CPCS-01052	Biohazard Code: Veronica Kanzenban / Biohazard 4 Value Pack	Capcom	Survival Horror	N/A	Capcom	NTSC-J	2009-09-17	CPCS-01052
CZP2-01101	Clock Zero: Shuuen no ichibyou [Limited Edition]	Design Factory / Otomate	Adventure.	Japanese	Idea Factory	NTSC-J	2010-11-25	CZP2-01101
DCP2-01201	Death Connection [Limited Edition]	Design Factory	Adventure.	Japanese	Idea Factory	NTSC-J	2009-12-17	DCP2-01201
DKP2-00502	Desert Kingdom [Limited Edition]	Design Factory	Adventure / Card Battle.	Japanese	Idea Factory	NTSC-J	2010-05-27	DKP2-00502
DMP-P201	Ayaka Shibito: Genyou Ibunroku [Limited Edition]	Will / Propeller	Adventure.	Japanese	Dimple Entertainment	NTSC-J	2006-08-31	DMP-P201
DMP-P202	Mahoroba Stories: Library of Fortune [Limited Edition]	Dimple Entertainment	RPG.	Japanese	Dimple Entertainment	NTSC-J	2007-07-24	DMP-P202
DMP-P203	Houkago wa Gin no Shirabe [First Print Limited Edition]	Fupac Co., Ltd	Adventure.	Japanese	Dimple Entertainment	NTSC-J	2008-02-28	DMP-P203
DMP-P204	Love Root Zero: Kiss Kiss Labyrinth [Limited Edition]	Dimple Entertainment	Adventure / RPG.	Japanese	Dimple Entertainment	NTSC-J	2010-04-28	DMP-P204
DMP-P205	Under the Moon: Crescent [First Print Limited Edition]	Sugar Beans	Adventure.	Japanese	Dimple Entertainment	NTSC-J	2009-06-25	DMP-P205
DVD-006	Play TV 97	N/A	N/A	N/A	N/A	PAL	N/A	DVD-006
FVGK-0001	Umisho [Limited Edition]	Alchemist / 5gk	Adventure.	Japanese	Alchemist	NTSC-J	2007-11-22	FVGK-0001
FVGK-0002	Prism Ark: Awake [Limited Edition]	Pajamas Soft	Adventure / RPG.	Japanese	5pb	NTSC-J	2008-04-24	FVGK-0002
FVGK-0004	Night Wizard the Video Game: Denial of the World [Limited Edition]	5gk	Adventure / RPG.	Japanese	5gk	NTSC-J	2008-02-28	FVGK-0004
FVGK-0007	L no Kisetsu 2: Invisible Memories [Limited Edition]	5pb	Adventure.	Japanese	5pb	NTSC-J	2008-07-03	FVGK-0007
FVGK-0008	Kanokon Esuii [Limited Edition]	5pb	Adventure.	Japanese	5pb	NTSC-J	2008-07-31	FVGK-0008
FVGK-0011	Memories Off 6: T-Wave [Limited Edition]	5pb	Adventure.	Japanese	5pb / Cyberfront	NTSC-J	2008-08-21	FVGK-0011
FVGK-0012	Monochrome Factor: Cross Road [Limited Edition]	Genterprise	Adventure.	Japanese	5pb	NTSC-J	2008-11-27	FVGK-0012
FVGK-0015	Hakushaku to Yousei: Yume to Kizuna ni Omoi Hasete [Limited Edition]	5pb	Adventure.	Japanese	5pb	NTSC-J	2009-04-30	FVGK-0015
FVGK-0018	Hyakko: Yorozuya Jikenbo! [Limited Edition]	5pb	Adventure.	Japanese	5pb	NTSC-J	2009-04-09	FVGK-0018
FVGK-0022	Skip Beat! [Limited Edition]	Genterprise	Adventure.	Japanese	5pb	NTSC-J	2009-05-28	FVGK-0022
FVGK-0024	Memories Off 6: Next Relation [Limited Edition]	5pb	Adventure.	Japanese	5pb	NTSC-J	2009-08-27	FVGK-0024
FVGK-0026	Lucian Bee's: Resurrection Supernova [Limited Edition]	HuneX	Adventure.	Japanese	5pb	NTSC-J	2009-07-30	FVGK-0026
FVGK-0037	Lucian Bee's: Justice Yellow (box)	HuneX	N/A	N/A	5pb	NTSC-J	2010-05-20	FVGK-0037
FVGK-0038	Lucian Bee's: Evil Violet [Limited Edition]	HuneX	Adventure.	Japanese	5pb	NTSC-J	2010-05-20	FVGK-0038
GLD-DR01	Sony DVD Test Disc	N/A	N/A	N/A	N/A	NTSC-U	N/A	GLD-DR01
GN-04003	Komorebi no Namikimichi: Utsurikawaru Kisetsu no Chuu de (Limited Edition)	N/A	N/A	N/A	N/A	NTSC-J	N/A	GN-04003
GN-04005	Apocripha/0 [Limited Edition]	Stack Software	Adventure / Card Battle	Japanese	GN Software	NTSC-J	2004-09-22	GN-04005
GN-05009	Angel's Feather: Kuro no Zanei [Limited Edition]	HuneX	Adventure / RPG.	Japanese	GN Software	NTSC-J	2005-06-30	GN-05009
GN-05011	Like Life an Hour [First Print Limited Edition]	Regista	Adventure.	Japanese	GN Software	NTSC-J	2005-04-28	GN-05011
GN-05013	Izumo 2 [First Print Limited Edition]	Studio e.go!	Adventure / RPG.	Japanese	GN Software	NTSC-J	2006-04-27	GN-05013
GN-05015	I/O [First Print Limited Edition]	Regista	Adventure.	Japanese	GN Software	NTSC-J	2006-01-26	GN-05015
GN-06017	_Summer ## [First Print Limited Edition]	Hook Software Creations	Adventure.	Japanese	GN Software	NTSC-J	2006-08-24	GN-06017
GN-07021	Majokko a la Mode II: Hikari to Yami no Etranger [Limited Edition]	F&C	Adventure / Tactical RPG.	Japanese	Interchannel	NTSC-J	2007-06-28	GN-07021
GN-08023	Akane Iro ni Somaru Saka: Parallel [Limited Edition]	Feng	Adventure	Japanese	GN Software	NTSC-J	2008-08-14	GN-08023
GN-08025	Izumo 2: Gakuen Kyousoukyoku: Double Tact: Genteiban	N/A	N/A	N/A	GN Software	NTSC-J	2008-01-31	GN-08025
GN-09029	Pia Carrot e Youkoso!! G.P. Gakuen Princess [Deluxe Pack]	F&C	Adventure.	Japanese	GN Software	NTSC-J	2009-01-22	GN-09029
GUST-00001	Judie no Atelier: Gramnad no Renkinjutsushi: Premium Box	Gust	N/A	N/A	Gust	NTSC-J	2002-06-27	GUST-00001
GUST-00002	Viorate no Atelier: Gramnad no Renkinjutsushi 2: Premium Box	Gust	N/A	N/A	Gust	NTSC-J	2003-06-26	GUST-00002
GUST-00003	Atelier Iris: Eternal Mana [Premium Box]	Gust Co., Ltd	RPG	Japanese	Gust	NTSC-J	2004-05-27	GUST-00003
GUST-00004	Iris no Atelier: Eternal Mana 2: Premium Box	N/A	RPG	N/A	N/A	NTSC-J	N/A	GUST-00004
GUST-00005	Atelier Lilie Plus: Lilie no Atelier Plus: Salberg no Renkinjutsushi 3 [Limited Edition]	Gust	RPG.	Japanese	Gust	NTSC-J	2002-04-04	GUST-00005
GUST-00006	Marie to Elie Atelier: Salsburg no Renkinjutsu 1+2: Premium Box	Gust	N/A	N/A	Gust	NTSC-J	2005-10-27	GUST-00006
GUST-00009	Mana-Khemia: Gakuen no Renkinjutsushi-tachi: Premium Box	N/A	RPG	N/A	NIS America	NTSC-J	N/A	GUST-00009
GUST-00010	Mana-Khemia 2: Ochita Gakuen to Renkinjutsushi-tachi (Premium Box)	N/A	N/A	N/A	N/A	NTSC-J	N/A	GUST-00010
GWS-0001	Kyuuketsu Kitan Moonties [Limited Edition]	Xero Co. / Gungho Works	Adventure.	Japanese	Interchannel	NTSC-J	2008-02-28	GWS-0001
GWS-0007	NadePro!! Kisama no Seiyuu Yatte Miro! [Limited Edition]	Genji Project	Adventure.	Japanese	GungHo	NTSC-J	2009-10-29	GWS-0007
HAKU-00801	Hakuoki: Twin Pack	Otomate	Adventure.	Japanese	Idea Factory	NTSC-J	2009-08-27	HAKU-00801
HKHS-01002	Hiiro no Kakera Twin Pack	N/A	N/A	N/A	N/A	NTSC-J	N/A	HKHS-01002
HSN-0002	Sakura Taisen: Atsuki Chishio Ni [Premium Edition]	Overworks	Adventure / Tactical RPG.	Japanese	Sega	NTSC-J	2003-02-27	HSN-0002
HSN-0003	Sakura Taisen: Atsuki Chishio Ni [First Print Limited Edition]	Overworks	Adventure / Tactical RPG.	Japanese	Sega	NTSC-J	2003-02-27	HSN-0003
HSN-0005	The Typing of the Dead: Zombie Panic [with Keyboard]	Sega	Action / Educational.	Japanese	Sega	NTSC-J	2004-12-22	HSN-0005
HSN-0006	Sakura Taisen V: Saraba Itoshiki Hito yo: Showtime Box	N/A	Strategy	N/A	Sega	NTSC-J	2005-07-07	HSN-0006
HSN-0008	Jissen Pachi-Slot Hisshouhou! Hokuto no Ken SE: Limited Edition	Sammy	N/A	N/A	Sega	NTSC-J	N/A	HSN-0008
HSN-0010	Appleseed EX [Limited Box]	Dream Factory	Action / Beat'em up / Shooter	Japanese	Sega	NTSC-J	2007-02-15	HSN-0010
HSN-0012	Seaman 2: Peking Genjin Ikusei Kit (Seamic Controller)	N/A	N/A	N/A	Sega	NTSC-J	N/A	HSN-0012
HSN-0013	Nights into Dreams [Nightopia Dream Pack]	Sonic Team	Action / Platform.	Japanese	Sega	NTSC-J	2008-02-21	HSN-0013
IIDX16COMP	Beatmania IIDX: 16: Empress + Premium Best [Konamystyle Special Edition]	N/A	N/A	N/A	N/A	NTSC-J	N/A	IIDX16COMP
IIDX16SP	Beatmania IIDX: 16: Empress + Premium Best [Konamystyle Special Edition]	N/A	N/A	N/A	N/A	NTSC-J	N/A	IIDX16SP
INCH-0001	Soul Link Extension [Limited Edition]	Omegavision	Adventure.	Japanese	Interchannel	NTSC-J	2006-06-29	INCH-0001
INCH-0002	Teikoku Sensenki [Best Version with Drama CD]	Regista	Adventure / RPG / Strategy.	Japanese	Interchannel	NTSC-J	2006-08-31	INCH-0002
INCH-0003	Interlude [Best Version Pandora Box]	NEC Interchannel	Adventure.	Japanese	Interchannel-Holon	NTSC-J	2007-03-01	INCH-0003
INCH-0004	School Days LXH [First Print Limited Edition]	Guyzware	Adventure.	Japanese	Interchannel	NTSC-J	2008-01-17	INCH-0004
JALE-20003	Dream Audition [Limited Edition]	Jaleco	Rhythm / Sing.	Japanese	Jaleco	NTSC-J	2000-08-03	JALE-20003
KAD-003	H2O+: Footprints in the Sand [DX Pack]	Regista	Adventure.	Japanese	Kadokawa Shoten	NTSC-J	2008-04-24	KAD-003
KAD-004	Togainu no chi: True Blood [Limited Edition]	Nitro+CHiRAL	Adventure.	Japanese	Kadokawa Shoten	NTSC-J	2008-05-29	KAD-004
KAD-006	Real Rode [Kira Kira Box]	HuneX	Adventure / RPG / Simulation.	Japanese	Kadokawa Shoten	NTSC-J	2008-12-04	KAD-006
KAD-008	Touka Gettan: Koufuu no Ryouou [Deluxe Pack]	Root	Adventure.	Japanese	Kadokawa Shoten	NTSC-J	2009-10-01	KAD-008
KAD-019	Uragiri wa Boku no Namae o Shitteiru [Deluxe Pack]	Bottle Cube	Adventure / Mini Games.	Japanese	Kadokawa Shoten	NTSC-J	2010-10-28	KAD-019
KCS-3001	Shin Sangoku Musou 3: Treasure Box	Omega Force	Action	N/A	Koei	NTSC-J	2003-02-27	KCS-3001
KCS-3002	Shin Sangoku Musou 3: Treasure Box	Omega Force	Action	N/A	Koei	NTSC-J	2003-02-27	KCS-3002
KOEI-00005	Shin Sangoku Musou 3: Moushouden & Kessen II & Sangokushi VIII Super Value Set [3 DISCS]	N/A	N/A	N/A	N/A	NTSC-J	N/A	KOEI-00005
KOEI-00006	Sengoku Musou: Treasure Box	Omega Force	Action	N/A	Koei	NTSC-J	2004-02-11	KOEI-00006
KOEI-00008	Shin Sangoku Musou 3 Empires & Moushouden Premium Box	Omega Force	Action	N/A	Koei	NTSC-J	2004-03-18	KOEI-00008
KOEI-00009	Shin Sangoku Musou 3 Super Premium Box	Omega Force	Action	N/A	Koei	NTSC-J	2004-03-18	KOEI-00009
KOEI-00011	Sengoku Musou: Excellent Box	Omega Force	Action	N/A	Koei	NTSC-J	2004-03-27	KOEI-00011
KOEI-00012	Nobunaga no Yabou:  Online (Excellent Box)	N/A	N/A	N/A	N/A	NTSC-J	N/A	KOEI-00012
KOEI-00013	Shin Sangoku Musou 3: Empires Excellent Box [3 DISCS]	N/A	N/A	N/A	N/A	NTSC-J	N/A	KOEI-00013
KOEI-00015	Winning Post Kouryaku Box	N/A	Sports	N/A	Koei	NTSC-J	2004-06-24	KOEI-00015
KOEI-00017	Sengoku Kouryaku Box [2 Discs]	N/A	N/A	Japanese	N/A	NTSC-J	N/A	KOEI-00017
KOEI-00019	Sengoku Musou Moushouden: Treasure Box	Omega Force	Action	N/A	Koei	NTSC-J	2004-09-16	KOEI-00019
KOEI-00020	Angelique Etoile [Premium Box]	Koei	Adventure / Simulation / Strategy.	Japanese	Koei	NTSC-J	2004-09-16	KOEI-00020
KOEI-00021	Kessen III: Treasure Box	Koei	Strategy	N/A	Koei	NTSC-J	2004-12-22	KOEI-00021
KOEI-00023	Harukanaru Toki no Naka de 3 + 2	Ruby Party	Adventure / RPG.	Japanese	Koei	NTSC-J	2004-12-22	KOEI-00023
KOEI-00027	Shin Sangoku Musou 4: Treasure Box	Omega Force	Action	N/A	Koei	NTSC-J	2005-02-24	KOEI-00027
KOEI-00028	Zill O'll Infinite: Premium Box	Koei	RPG	N/A	Koei	NTSC-J	2005-06-23	KOEI-00028
KOEI-00029	Harukanaru Toki no Naka de: Hachiyoushou [Premium Box]	Ruby Party	Adventure / RPG.	Japanese	Koei	NTSC-J	2005-04-01	KOEI-00029
KOEI-00033	Sangokushi X: Anniversary Box	Koei	Strategy	N/A	Koei	NTSC-J	2005-03-10	KOEI-00033
KOEI-00034	Harukanaru Toki no Naka de: Hachiyoushou [History Box]	Ruby Party	Adventure / RPG.	Japanese	Koei	NTSC-J	2005-04-01	KOEI-00034
KOEI-00042	Shin Sangoku Musou 3+3 Mushouden [Premium Pack] [2 DISCS]	N/A	N/A	N/A	N/A	NTSC-J	N/A	KOEI-00042
KOEI-00043	Winning Post 7: Premium Box	N/A	Sports	N/A	Koei	NTSC-J	2005-08-25	KOEI-00043
KOEI-00046	Pachi-Slot Winning Post [With Controller]	Koei / IGT Japan	Gambling.	Japanese	Koei	NTSC-J	2005-07-28	KOEI-00046
KOEI-00047	Harukanaru Toki no Naka de 3: Izayoiki [Premium Box]	Ruby Party	Adventure / RPG.	Japanese	Koei	NTSC-J	2005-09-22	KOEI-00047
KOEI-00048	Harukanaru Toki no Naka de 3 & Harukanaru Toki no Naka de 3: Izayoiki Twin Pack	N/A	N/A	N/A	Koei	NTSC-J	2005-09-22	KOEI-00048
KOEI-00049	Shin Sangoku Musou 4 Premium Pack	Omega Force	Action	N/A	Koei	NTSC-J	2005-09-15	KOEI-00049
KOEI-00050	Shin Sangoku Musou 4 Moushouden: Treasure Box	Omega Force	Action	N/A	Koei	NTSC-J	2005-09-15	KOEI-00050
KOEI-00059	Shin Sangoku Musou Series Collection Joukan [6 DISCS]	N/A	N/A	N/A	N/A	NTSC-J	N/A	KOEI-00059
KOEI-00065	Sengoku Musou 2: Treasure Box	Omega Force	Action	N/A	Koei	NTSC-J	2006-02-24	KOEI-00065
KOEI-00068	Pachi-Slot Nobunaga no Yabou: Tenka Sousei (Pachi-Slot Set)	N/A	N/A	N/A	N/A	NTSC-J	N/A	KOEI-00068
KOEI-00069	Shin Sangoku Musou 4 Super Premium Box [4 DISCS]	N/A	N/A	N/A	N/A	NTSC-J	N/A	KOEI-00069
KOEI-00070	Shin Sangoku Musou 4 Empires & Mushosiden Premium Box [3 DISCS]	N/A	N/A	N/A	N/A	NTSC-J	N/A	KOEI-00070
KOEI-00075	Harukanaru Toki no Naka de 3: Unmei no Meikyuu [Premium Box]	Ruby Party	Adventure / RPG.	Japanese	Koei	NTSC-J	2006-03-23	KOEI-00075
KOEI-00110	Harukanaru Toki no Naka de: Maihitoyo [Premium Box]	Ruby Party	Adventure / RPG.	Japanese	Koei	NTSC-J	2006-09-21	KOEI-00110
KOEI-00111	Harukanaru Toki no Naka de: Hachiyoushou [Twin Pack]	Ruby Party	Adventure / RPG.	Japanese	Koei	NTSC-J	2006-09-21	KOEI-00111
KOEI-00112	Sengoku Musou 2 Empires: Treasure Box	Omega Force	Action	N/A	Koei	NTSC-J	2006-11-16	KOEI-00112
KOEI-00113	Sengoku Musou 2 & Sengoku Musou 2: Empires Premium Box	N/A	N/A	Japanese	N/A	NTSC-J	N/A	KOEI-00113
KOEI-00114	Shin Sangoku Musou Series Collection Gekan  [5 DISCS]	N/A	N/A	N/A	N/A	NTSC-J	N/A	KOEI-00114
KOEI-20122	Kin'iro no Koruda 2 [Premium Box]	Ruby Party	Adventure / Simulation.	Japanese	Koei	NTSC-J	2007-03-15	KOEI-20122
KOEI-20123	Musou Orochi: Treasure Box	Omega Force	Action	N/A	Koei	NTSC-J	2007-03-21	KOEI-20123
KOEI-20125	Musou Orochi Super Premium Pack	Omega Force	Action	N/A	Koei	NTSC-J	2007-03-21	KOEI-20125
KOEI-20129	Sengoku Musou 2 & Sengoku Mushou 2 Moushouden Premium Pack	Omega Force	Action	N/A	Koei	NTSC-J	2007-08-23	KOEI-20129
KOEI-20130	Sengoku Musou 2 Super Premium Pack	Omega Force	Action	Japanese	Koei	NTSC-J	2007-08-23	KOEI-20130
KOEI-20131	Sengoku Musou 2 Moushouden: Treasure Box	Omega Force	Action	N/A	Koei	NTSC-J	2007-08-23	KOEI-20131
KOEI-20134	Kin'iro no Koruda 2: Encore [Premium Box]	Ruby Party	Adventure / Simulation.	Japanese	Koei	NTSC-J	2007-09-20	KOEI-20134
KOEI-20135	Kin'iro no Koruda 2: Encore [Premium Box]	Ruby Party	Adventure / Simulation.	Japanese	Koei	NTSC-J	2007-09-20	KOEI-20135
KOEI-20136	Kin'iro no Koruda 2 + Kiniro no Corda 2 Encore [Twin Pack]	Ruby Party	Adventure / Simulation.	Japanese	Koei	NTSC-J	2007-09-19	KOEI-20136
KOEI-20147	Musou Orochi: Maou Sairrin (Premium Box)	N/A	N/A	N/A	N/A	NTSC-J	N/A	KOEI-20147
KOEI-20148	Harukanaru Toki no Naka de 4 [Premium Box]	Ruby Party	Adventure / RPG.	Japanese	Koei	NTSC-J	2008-06-19	KOEI-20148
KOEI-20149	Harukanaru Toki no Naka de 4 [Treasure Box]	Ruby Party	Adventure / RPG.	Japanese	Koei	NTSC-J	2008-06-19	KOEI-20149
KOEI-20153	Neo Angelique Full Voice [Super Premium Box]	Ruby Party	Adventure / RPG.	Japanese	Koei	NTSC-J	2008-03-27	KOEI-20153
KOEI-20162	Harukanaru Toki no Naka de: Yume no Ukihashi Special [Premium Box]	Ruby Party	Adventure / RPG.	Japanese	Koei	NTSC-J	2009-01-29	KOEI-20162
KOEI-20163	Harukanaru Toki no Naka de: Yume no Ukihashi Special [Treasure Box]	Ruby Party	Adventure / RPG.	Japanese	Koei	NTSC-J	2009-01-29	KOEI-20163
KOEI-20175	Kin'iro no Koruda 3 [Premium Box]	Ruby Party	Adventure / Simulation.	Japanese	Koei	NTSC-J	2010-02-25	KOEI-20175
KOEI-20176	Kin'iro no Koruda 3 [Treasure Box]	Ruby Party	Adventure / Simulation.	Japanese	Koei	NTSC-J	2010-02-25	KOEI-20176
KOEI-65247	Sangokushi no Sekai Duo: Treasure Box [3 Discs]	N/A	N/A	N/A	N/A	NTSC-J	N/A	KOEI-65247
KOEI-65251	Shin Sangoku Musou 3: Treasure Box	Omega Force	Action	N/A	Koei	NTSC-J	2003-02-27	KOEI-65251
KOEI-SP001	Shin Sangoku Musou 2 & Shin Sangoku Musou: Koei 2002 Spring Pack  [2 DISCS]	N/A	N/A	N/A	N/A	NTSC-J	N/A	KOEI-SP001
KOEI-SP002	Koei 2002 Spring Pack: Sangokushi VII / Sangokushi VIII	Koei	Strategy	N/A	Koei	NTSC-J	2002-04-19	KOEI-SP002
KOEI-SP004	Harukanaru Toki no Naka de 2 & 1 [Koei 2002 Spring Pack]	Ruby Party	Adventure / RPG	Japanese	Koei	NTSC-J	2002-04-19	KOEI-SP004
KTW-00002	NEO ANGELIQUE	N/A	N/A	Japanese / Chinese	N/A	NTSC-J	N/A	KTW-00002
LDTL-00003	Linux (for PlayStation 2) Release 1.0 (Disc 2) (Software Packages)	N/A	N/A	English	N/A	NTSC-U	N/A	LDTL-00003
LDTL-00004	Linux (for PlayStation 2) Release 1.0 (Disc 2) (Software Packages)	N/A	N/A	English	N/A	PAL	N/A	LDTL-00004
MH-051013	Tengai Makyou III: Namida (Limited Edition)	N/A	N/A	N/A	N/A	NTSC-J	N/A	MH-051013
MH051013	Tengai Makyou III: Namida: Deluxe Pack	Hudson	RPG	N/A	N/A	NTSC-J	2005-04-15	MH051013
MJP2-00605	Moujuutsukai to Oujisama [Limited Edition]	Design Factory	Adventure / Breeding	Japanese	Idea Factory	NTSC-J	2010-06-24	MJP2-00605
MTP2-11021	Moujuutsukai to Oujisama [Twin Pack]	Design Factory	Adventure / Breeding	Japanese	Idea Factory	NTSC-J	2011-02-24	MTP2-11021
NBGI-0004	Gundam Musou 2: Treasure Box	Omega Force	N/A	N/A	Bandai Namco Games	NTSC-J	2008-12-18	NBGI-0004
NMP2-00701	Natsuzora no Monologue [Limited Edition]	Design Factory	Adventure.	Japanese	Idea Factory	NTSC-J	2010-07-29	NMP2-00701
NPC-106	Vampire Night + G-Con2	N/A	Action	N/A	N/A	PAL	N/A	NPC-106
P-00001	Pia Carrot e Youkoso!! G.O. Summer Fair [Dinner Pack]	Cocktail Soft	Adventure.	Japanese	Piacci	NTSC-J	2007-12-20	P-00001
