id	title	developer	genre	language	publisher	region	release_date	serial
SLPS-25010	Unison	N/A	N/A	Japanese	N/A	NTSC-J	N/A	SLPS-25010
SLPS-25011	Sunrise Eiyuutan R	N/A	Strategy	Japanese	N/A	NTSC-J	N/A	SLPS-25011
SLPS-25012	Hajime no Ippo: Victorious Boxers	N/A	Sports	Japanese	N/A	NTSC-J	2000-12-14	SLPS-25012
SLPS-25013	Kuri Kuri Mix	FromSoftware, Inc	Action / Puzzle.	Japanese	From Software	NTSC-J	2000-12-07	SLPS-25013
SLPS-25014	Choro Q HG	Barnhouse Effect	Racing	Japanese	Takara	NTSC-J	2000	SLPS-25014
SLPS-25015	Choro Q: HG	N/A	N/A	N/A	N/A	NTSC-J	N/A	SLPS-25015
SLPS-25016	Neo Atlas III	Artdink	Strategy.	Japanese	Artdink	NTSC-J	2000-12-14	SLPS-25016
SLPS-25017	A Ressha de Ikou 2001	N/A	N/A	Japanese	N/A	NTSC-J	N/A	SLPS-25017
SLPS-25018	Sidewinder Max	N/A	Flight Simulator	Japanese	N/A	NTSC-J	2000-12-07	SLPS-25018
SLPS-25020	Kidou Senshi Gundam	Bandai	Action / Beat'em Up / Shooter.	Japanese	Bandai	NTSC-J	2000-12-21	SLPS-25020
SLPS-25021	Jitsumei Jikkyou Keiba: Dream Classic 2001 Spring	Dream Japan	Gambling / Simulation.	Japanese	Bandai	NTSC-J	2001-04-05	SLPS-25021
SLPS-25022	Cool Boarders: Code Alien	N/A	Sports	Japanese	N/A	NTSC-J	N/A	SLPS-25022
SLPS-25023	The Bouncer	DreamFactory	Action / Beat'em Up	Japanese	Square Co. Ltd	NTSC-J	2000-12-23	SLPS-25023
SLPS-25024	Disney's Dinosaur	Sandbox Studios	Action / Adventure / RPG	Japanese	Ubi Soft Entertainment Software	NTSC-J	2001-02-15	SLPS-25024
SLPS-25025	7 (Seven): Molmorth no Kiheitai	N/A	Strategy	Japanese	N/A	NTSC-J	2000-12-21	SLPS-25025
SLPS-25026	DOA2: Hardcore	Team Ninja	Fighting.	English / French / German / Italian / Japanese / Spanish	Tecmo	NTSC-J	2000-12-14	SLPS-25026
SLPS-25027	Golf Paradise DX	T&E Soft, Inc	Golf.	Japanese	T&E Soft, Inc	NTSC-J	2000-12-14	SLPS-25027
SLPS-25028	Shutokou Battle 0	N/A	N/A	Japanese	N/A	NTSC-J	N/A	SLPS-25028
SLPS-25029	Rayman Revolution	N/A	Platformer	Japanese	Ubisoft	NTSC-J	2001-05-31	SLPS-25029
SLPS-25030	Lunatic Dawn: Tempest	Artdink	RPG	Japanese	Artdink	NTSC-J	2001-02-08	SLPS-25030
SLPS-25031	Might and Magic: Day of the Destroyer	N/A	N/A	Japanese	N/A	NTSC-J	N/A	SLPS-25031
SLPS-25032	Golful Golf	N/A	N/A	Japanese	N/A	NTSC-J	N/A	SLPS-25032
SLPS-25033	Kaze no Klonoa 2: Sekai ga Nozonda Wasuremono	Namco	Action / Platformer	Japanese	Namco	NTSC-J	2001-03-21	SLPS-25033
SLPS-25034	Hana to Taiyou to Ame to	Grasshopper Manufacture	Adventure.	Japanese	Victor Interactive Software	NTSC-J	2001-05-02	SLPS-25034
SLPS-25035	Monster Farm	Tecmo	Breeding / Simulation / Fighting	Japanese	Tecmo	NTSC-J	2001-03-22	SLPS-25035
SLPS-25036	Gallop Racer 5	Tecmo	Horse Racing	Japanese	Tecmo	NTSC-J	2001-03-29	SLPS-25036
SLPS-25037	Velvet File Plus (SLPS-25037)	Seta Corporation	Strategy	N/A	Seta Corporation	NTSC-J	2001-03-29	SLPS-25037
SLPS-25038	True Love Story 3	Enterbrain	Adventure	Japanese	Enterbrain	NTSC-J	2001-04-05	SLPS-25038
SLPS-25039	Missing Blue	Tonkin House	Adventure.	Japanese	Tonkin House	NTSC-J	2001-07-26	SLPS-25039
SLPS-25040	Armored Core 2: Another Age	FromSoftware	Third-person Shooter	Japanese	FromSoftware	NTSC-J	2001-04-12	SLPS-25040
SLPS-25041	Shadow Hearts	Forest Entertainment, Inc	RPG	Japanese	Aruze Corp	NTSC-J	2001-06-28	SLPS-25041
SLPS-25042	Maken Shao	Atlus Co., Ltd	Action.	Japanese	Atlus	NTSC-J	2001-06-07	SLPS-25042
SLPS-25043	Maken Shao	Atlus Co., Ltd	Action.	Japanese	Atlus	NTSC-J	2001-06-07	SLPS-25043
SLPS-25044	Evergrace II	FromSoftware	Action-RPG	Japanese	FromSoftware	NTSC-J	2001-06-21	SLPS-25044
SLPS-25045	Lilie no Atelier: Salburg no Renkinjutsushi 3	Gust	RPG.	Japanese	Gust	NTSC-J	2001-06-21	SLPS-25045
SLPS-25046	Golf Navigator Vol. 1: Caledonian Golf Club, Soubu Country Club: Soubu Course	Dual	Golf.	Japanese	Spike	NTSC-J	2001-06-28	SLPS-25046
SLPS-25047	Golf Navigator Vol. 2: Kawagoe Country Club, Shizuoka Country Hamaoka Course: Takamatsu Course	Dual	Golf.	Japanese	Spike	NTSC-J	2001-06-28	SLPS-25047
SLPS-25048	Zeonic Front: Kidou Senshi Gundam 0079	Bec	Strategy	Japanese	Bandai	NTSC-J	2001-09-06	SLPS-25048
SLPS-25050	Final Fantasy X	Square Co. Ltd	RPG	Japanese	Square Enix	NTSC-J	2001-07-19	SLPS-25050
SLPS-25051	Missing Blue	Tonkin House	Adventure.	Japanese	Tonkin House	NTSC-J	2001-07-26	SLPS-25051
SLPS-25052	Ace Combat 04: Shattered Skies	Namco Bandai	Action / Shooter / Flight Simulator.	Japanese	Namco Bandai	NTSC-J	2001-09-13	SLPS-25052
SLPS-25053	Eikan wa Kimi ni: Koushien no Hasha	N/A	N/A	Japanese	N/A	NTSC-J	N/A	SLPS-25053
SLPS-25054	Tamamayu Monogatari 2: Horobi no Mushi	Genki Co	RPG	Japanese	Genki Co	NTSC-J	2001-08-30	SLPS-25054
SLPS-25055	Golf Navigator Vol. 3: Rope Club, Taiheiyou Associates: Sherwood Course	Dual	Golf.	Japanese	Spike	NTSC-J	2001-09-06	SLPS-25055
SLPS-25056	I Golf Navigator Vol. 4: Taiheiyou Club: Gotenba Courseshioka Golf Club	Dual	Golf.	Japanese	Spike	NTSC-J	2001-09-20	SLPS-25056
SLPS-25057	King's Field IV	FromSoftware	Action-RPG	Japanese	FromSoftware	NTSC-J	N/A	SLPS-25057
SLPS-25059	Kikou Busou G-Breaker: Legend of Cloudia	N/A	Action	Japanese	N/A	NTSC-J	2002-11-07	SLPS-25059
SLPS-25060	Kidou Senshi Gundam: Meguriai Sora	Bec	Third-person Shooter	Japanese	Bandai	NTSC-J	2003-09-04	SLPS-25060
SLPS-25061	Kidou Senshi Gundam: Ver. 1.5	N/A	N/A	Japanese	N/A	NTSC-J	N/A	SLPS-25061
SLPS-25062	Kidou Senshi Gundam: Meguriai Sora	N/A	N/A	Japanese	N/A	NTSC-J	N/A	SLPS-25062
SLPS-25064	Kindan no Pet: Seaman: Gassé Hakase no Jikken-tou	Vivarium	Simulation	Japanese	ASCII	NTSC-J	2001	SLPS-25064
SLPS-25065	Kindan no Pet: Seaman: Gassé Hakase no Jikken-tou	N/A	Simulation	Japanese	N/A	NTSC-J	N/A	SLPS-25065
SLPS-25066	Seaman: Kindan no Pet: Gaze Hakushi no Jikken Shima	N/A	Strategy	N/A	N/A	NTSC-J	2001-12-13	SLPS-25066
SLPS-25067	TVware Jouhou Kakumei Series: Pro Atlas for TV: Zenkokuban	N/A	Other	Japanese	N/A	NTSC-J	N/A	SLPS-25067
SLPS-25068	Jitsumei Jikkyou Keiba: Dream Classic: 2001 Autumn	Dream Japan	Gambling / Simulation.	Japanese	Bandai	NTSC-J	2001-11-15	SLPS-25068
SLPS-25069	FIFA 2002: Road to FIFA World Cup	N/A	N/A	Japanese	N/A	NTSC-J	N/A	SLPS-25069
SLPS-25070	Sunrise Eiyuutan 2	Atelier-Sai	Strategy	Japanese	Sunrise Interactive	NTSC-J	2001-12-20	SLPS-25070
SLPS-25071	A Visual Mix: Ayumi Hamasaki Dome Tour 2001 A (Disc 1)	N/A	N/A	Japanese	N/A	NTSC-J	N/A	SLPS-25071
SLPS-25072	A Visual Mix: Ayumi Hamasaki Dome Tour 2001 A (Disc 2)	N/A	N/A	Japanese	N/A	NTSC-J	N/A	SLPS-25072
SLPS-25073	Cinema Surfing: Youga Taizen	N/A	N/A	Japanese	N/A	NTSC-J	N/A	SLPS-25073
SLPS-25074	Zero	Tecmo	Action / Survival Horror.	Japanese	Tecmo	NTSC-J	2001-12-13	SLPS-25074
SLPS-25075	Sidewinder F (With Fligh Force)	N/A	N/A	Japanese	N/A	NTSC-J	N/A	SLPS-25075
SLPS-25076	Sidewinder F	N/A	N/A	Japanese	N/A	NTSC-J	N/A	SLPS-25076
SLPS-25077	Vampire Night	WOW Entertainment	Light Gun Shooter	Japanese	Namco	NTSC-J	2011-12-06	SLPS-25077
SLPS-25078	SSX Tricky	N/A	Racing	Japanese	N/A	NTSC-J	2002-02-02	SLPS-25078
SLPS-25079	Madden NFL Super Bowl 2002	N/A	N/A	Japanese	N/A	NTSC-J	N/A	SLPS-25079
SLPS-25080	Uchuu Senkan Yamato: Iscandar e no Tsuioku	N/A	N/A	Japanese	N/A	NTSC-J	N/A	SLPS-25080
SLPS-25081	Saishuu Densha	N/A	N/A	Japanese	N/A	NTSC-J	N/A	SLPS-25081
SLPS-25082	A-Ressha de Ikou 2001 Perfect Set	N/A	N/A	N/A	N/A	NTSC-J	N/A	SLPS-25082
SLPS-25083	Exciting Pro Wres 3	Yuke's	Sports	Japanese	N/A	NTSC-J	2002-01-24	SLPS-25083
SLPS-25084	Thunder Strike: Operation Phoenix	N/A	N/A	Japanese	Eidos	NTSC-J	N/A	SLPS-25084
SLPS-25085	Soul Reaver 2	Crystal Dynamics, Inc	Action / Adventure.	Japanese	Eidos Interactive	NTSC-J	2002-02-14	SLPS-25085
SLPS-25087	Exciting Pro Wres 3	N/A	N/A	Japanese	N/A	NTSC-J	N/A	SLPS-25087
SLPS-25088	Final Fantasy X International	Square Co. Ltd	RPG	English / Japanese	Square Enix	NTSC-J	2002-01-31	SLPS-25088
SLPS-25089	Salt Lake 2002	N/A	N/A	Japanese	N/A	NTSC-J	N/A	SLPS-25089
SLPS-25094	Reavel Fantasia: Mariel to Yousei Monogatari	Infinity	Adventure / RPG.	Japanese	Victor Interactive Software	NTSC-J	2002-03-20	SLPS-25094
SLPS-25095	Uchuu Senkan Yamato: Iscandar he no Tsuioku	N/A	N/A	N/A	N/A	NTSC-J	N/A	SLPS-25095
SLPS-25096	Galerians: Ash (The Last Galerians) [Ash x Rion Complete Pack]	Enterbrain, Inc	Action / Survival Horror.	Japanese	Enterbrain	NTSC-J	2002-04-25	SLPS-25096
SLPS-25097	Velvet File Plus	N/A	Strategy	Japanese	N/A	NTSC-J	2002-03-07	SLPS-25097
SLPS-25098	Air Ranger 2: Rescue Helicopter	N/A	Flight Simulator	Japanese	ASK	NTSC-J	2002-03-28	SLPS-25098
SLPS-25099	WRC: World Rally Championship	Evolution Studios	Racing	English / Japanese	Spike	NTSC-J	2002-03-14	SLPS-25099
SLPS-25100	Tekken 4	Namco	Fighting	Japanese	Namco	NTSC-J	2002-03-28	SLPS-25100
SLPS-25101	Nichibeikan Pro Yakyuu: Final League	N/A	N/A	Japanese	N/A	NTSC-J	N/A	SLPS-25101
SLPS-25102	Project Arms	N/A	Action	English	N/A	NTSC-J	2002-03-28	SLPS-25102
SLPS-25103	Super Robot Taisen Impact	N/A	N/A	Japanese	N/A	NTSC-J	N/A	SLPS-25103
SLPS-25104	Super Robot Taisen Impact	N/A	Strategy	Japanese	Banpresto	NTSC-J	2002-03-28	SLPS-25104
SLPS-25105	Kingdom Hearts	Square Enix	Action / RPG	Japanese	Square Co. Ltd	NTSC-J	2002-03-28	SLPS-25105
SLPS-25106	America Oudan Ultra Quiz	DigiCube	Mini Games / Quiz.	Japanese	DigiCube	NTSC-J	2002-03-28	SLPS-25106
SLPS-25107	Kengou 2	LightWeight Co., Ltd	Fighting.	Japanese	Genki	NTSC-J	2002-06-27	SLPS-25107
SLPS-25108	Runabout 3: Neo Age	Climax Entertaiment / Graphic Research	Driving / Racing / Action.	Japanese	Hearty Robin	NTSC-J	2002-05-23	SLPS-25108
SLPS-25110	Project FIFA World Cup: Sorenara Kimi ga Daihyou Kantoku	N/A	N/A	Japanese	N/A	NTSC-J	N/A	SLPS-25110
SLPS-25111	Higanbana	Sammy Studios	Adventure / Visual Novel.	Japanese	Sammy Studios	NTSC-J	2002-12-26	SLPS-25111
SLPS-25112	Armored Core 3	FromSoftware	Third-person Shooter	Japanese	FromSoftware	NTSC-J	2002-04-04	SLPS-25112
SLPS-25113	Zettai Zetsumei Toshi	Irem Software Engineering, Inc	Action / Adventure	Japanese	Irem	NTSC-J	2002-04-25	SLPS-25113
SLPS-25114	Kikou Busou G-Breaker: Dai-3-Ji Cloudia Taisen	N/A	Strategy	Japanese	N/A	NTSC-J	2002-04-25	SLPS-25114
